Class 1
('GEREG', 2.9847303652167985)
('GESTCEN', 64.641152682559436)
('GESTFIPS', 23.427523129398864)
('GTCBSA', 31847.559062664051)
('GTCBSASZ', 4.7633533609663301)
('GTCO', 40.954208051260885)
('GTINDVPC', 0.12213770042504679)
('GTMETSTA', 1.0763360627656542)
('HEFAMINC', 7.5877885939573577)
('HEHOUSUT', 1.3511458887220096)
('HES1A', 1.0916017637505351)
('HES1B', 1.5267188330830144)
('HES1C', 1.6335884102931095)
('HES1D', 1.9236639372343458)
('HES8B', 1.2824434322329208)
('HES9', 1.0610664279824527)
('HESC3', 1.5648844422357708)
('HESC3A', 0.038170143857506812)
('HESC4', 1.6793885363842522)
('HETENURE', 1.4274804399194136)
('HETS2O', 107.64135612476242)
('HETS3O', 21.78629561164956)
('HETS4O', 41.76330422895532)
('HETS5O', 15.198434518229254)
('HETS6O', 18.251908170882249)
('HETS7O', 1.7633654721166838)
('HETS8CO', 46.91592016600044)
('HETS8DO', 2.6641310127514042)
('HETS8O', 126.59549173237343)
('HETS8OU', 110.28255525107471)
('HETSP3O', 70.710097362055592)
('HHSUPWGT', 3611.3804716053464)
('HRHHID', 190329295236127.03)
('HRHHID2', 91909.4516714934)
('HRHTYPE', 3.2748101357117458)
('HRNUMHOU', 3.1373994676116066)
('HRPOOR', 1.3740467075517058)
('HRSUPINT', 1.0)
('HUBUS', 1.9770991811703036)
('HUFINAL', 188.78622995749529)
('HWHHWGT', 2781.6011054306377)
('HWHHWTLN', 1.3740436844152055)
('OCCURNUM', 1.5190837152381989)
('PEAFEVER', 1.8320606619155606)
('PEAFNOW', 2.0)
('PEDISDRS', 1.946564756064042)
('PEDISEAR', 1.9847327874468692)
('PEDISEYE', 1.9770991811703036)
('PEDISOUT', 1.9160303309577802)
('PEDISPHY', 1.8702286932983878)
('PEDISREM', 1.9770991811703036)
('PEEDUCA', 39.160317842958229)
('PEERNHRO', 1.893136778818296)
('PEFNTVTY', 148.32786962423134)
('PEHRACT1', 10.832089728676408)
('PEHRACTT', 10.969494641654586)
('PEHRUSL1', 14.641259260682556)
('PEHRUSLT', 15.022939574510827)
('PEHSPNON', 1.6793909586143225)
('PEIO1COW', 1.8626023537120344)
('PEIO1ICD', 3253.7865097768595)
('PEIO2ICD', 71.297885045351137)
('PELKDUR', 9.0458258599600967)
('PELKM1', 0.15267454776137918)
('PEMARITL', 2.854963302068898)
('PEMJOT', 0.14504094148481375)
('PEMLR', 3.7175523242133672)
('PEMNTVTY', 148.6942827255065)
('PENATVTY', 150.31260725613836)
('PERRP', 3.068696719971479)
('PESCHENR', 0.14503640678006338)
('PESEX', 1.4351131355341586)
('PRCHLD', 1.4885504919447961)
('PRCITFLG', 2.1145089386086227)
('PRCITSHP', 2.3358723201404872)
('PRCIVLF', 1.4198459229810276)
('PRCOW1', 1.8091671097760764)
('PRDISFLG', 1.8244270556389952)
('PRDTCOW1', 3.3129875462594649)
('PREDUCA4', 2.4198507674411687)
('PREDUCA5', 2.7022941996740895)
('PREMPHRS', 5.809174376466288)
('PREMPNOT', 2.4503779258572189)
('PRERELG', 0.12213770042504679)
('PREXPLF', 0.35114831095208016)
('PRFAMNUM', 0.72519017404364472)
('PRFTLF', 0.22901061052703342)
('PRHRUSL', 1.0076384507367067)
('PRINUYER', 4.0228790373634116)
('PRMARSTA', 3.3969478361367926)
('PRMJIND1', 3.8244391667893485)
('PRMJOCC1', 2.7251998629639274)
('PRMLR', 2.0305320028761908)
('PRNLFSCH', 0.14503640678006338)
