Class 1
('GEREG', 2.5605381177525923)
('GESTCEN', 52.596412578733066)
('GESTFIPS', 27.618834090759034)
('GTCBSA', 22621.076212213782)
('GTCBSASZ', 3.1973094095288541)
('GTCO', 32.089686158480831)
('GTINDVPC', 0.10313901106081462)
('GTMETSTA', 1.2869955163018993)
('HEFAMINC', 7.5112107811632329)
('HEHOUSUT', 1.3766816157449113)
('HES1A', 1.1210762331761646)
('HES1B', 1.6681614341575404)
('HES1C', 1.5515695082486933)
('HES1D', 1.9237668158869587)
('HES8B', 1.6188340820456202)
('HES9', 1.1031390138349162)
('HESC3', 1.4529147988606139)
('HESC3A', 0.17488789441928959)
('HESC4', 1.8026905822288559)
('HETENURE', 1.5784753348519698)
('HETS2O', 118.91928256240855)
('HETS3O', 17.161434938222538)
('HETS4O', 12.565022463744771)
('HETS5O', 2.0403587552721585)
('HETS6O', 16.49327350755604)
('HETS7O', 1.3587444032259919)
('HETS8CO', 36.941704041232065)
('HETS8DO', 1.8071748982894609)
('HETS8O', 133.30493283840261)
('HETS8OU', 109.03587442830447)
('HETSP3O', 113.63677110255065)
('HHSUPWGT', 3099.3322724465711)
('HRHHID', 493092805662859.0)
('HRHHID2', 91610.919282089133)
('HRHTYPE', 3.5246636824906239)
('HRNUMHOU', 3.3452914737369395)
('HRPOOR', 1.340807175966338)
('HRSUPINT', 0.99999999999999978)
('HUBUS', 1.8385650218236089)
('HUFINAL', 159.74439500215442)
('HWHHWGT', 2405.1564549359423)
('HWHHWTLN', 1.2107623298192649)
('OCCURNUM', 1.8385650144275849)
('PEABSRSN', 1.174887900431931)
('PEAFEVER', 1.6412556040524648)
('PEAFNOW', 1.8116591921275438)
('PECYC', 0.27802690855306378)
('PEDISDRS', 1.7623318376847577)
('PEDISEAR', 1.7802690574821345)
('PEDISEYE', 1.7668161426341018)
('PEDISOUT', 1.7309417030393486)
('PEDISPHY', 1.6726457390810745)
('PEDISREM', 1.7040358733432834)
('PEEDUCA', 36.771300453350136)
('PEERNHRO', 2.5919282644246944)
('PEFNTVTY', 103.36771236969787)
('PEHRACT1', 8.9686098951481732)
('PEHRACTT', 8.9686098951481732)
('PEHRUSL1', 15.295964178289619)
('PEHRUSLT', 15.295964178289619)
('PEHSPNON', 1.8026905853913993)
('PEIO1COW', 2.6636771375199801)
('PEIO1ICD', 4891.7533770190857)
('PEMARITL', 3.3991031332426664)
('PEMJOT', 0.89686099214249937)
('PEMLR', 2.6816143462454702)
('PEMNTVTY', 105.10313838509407)
('PENATVTY', 95.461882744004058)
('PERRP', 3.1210762157119256)
('PESCHENR', 1.1255605363079753)
('PESEX', 1.9999999999999996)
('PRABSREA', 5.466367736954318)
('PRCHLD', 2.1569506759662183)
('PRCITFLG', 0.27354260165189381)
('PRCITSHP', 1.4932735318034966)
('PRCIVLF', 1.1434977583532038)
('PRCOW1', 2.4080717563607559)
('PRDISFLG', 1.6008968598915676)
('PRDTCOW1', 4.273542614272837)
('PREDUCA4', 2.2511210797975005)
('PREDUCA5', 2.4529148023986815)
('PREMPHRS', 6.6681614533842453)
('PREMPNOT', 1.7085201787435149)
('PRERELG', 0.22421524746720936)
('PREXPLF', 0.33183856763344338)
('PRFAMNUM', 0.85650223925906843)
('PRFTLF', 0.6816143481714857)
('PRHRUSL', 1.7309417131972156)
('PRINUYER', 2.170403534262713)
('PRMARSTA', 4.0538116522624712)
('PRMJIND1', 5.7578475516458658)
('PRMJOCC1', 2.2107623386307491)
('PRMLR', 1.5112107609723706)
('PRNLFSCH', 1.1973094154974822)
('PRNMCHLD', 0.76681614259015785)
('PRPERTYP', 1.9372197307091816)
('PRPTHRS', 1.0672645763105038)
('PRPTREA', 2.8789237717422744)
('PRTAGE', 38.681614369812323)
('PRTFAGE', 0.0089686098986883744)
('PRWKSCH', 0.9551569441298754)
('PRWKSTAT', 4.4215246414769673)
('PTDTRACE', 1.7219730807607856)
('PTERN', 7.1651569772476655)
('PTERNH1O', 1.2781614397486123)
('PTERNH2', 0.77013453203740789)
('PTERNHLY', 2.0582959717860243)
('PTERNWA', 102.95188378941738)
('PTIO1OCD', 2919.9641315161325)
('PUABSOT', 0.4304932691596261)
('PUBUSCK1', 0.78475336015781694)
('PUCHINHH', 8.7578475546963563)
('PUDWCK1', 0.22869955599125652)
('PUHRCK1', 0.82959641790233662)
('PUHRCK12', 0.82959641790233662)
('PUHRCK2', 2.4708520279322177)
('PUHRCK3', 1.4394618900597518)
('PUHRCK6', 0.32735426309909049)
('PUHRCK7', 0.87892377091503093)
('PUIO1MFG', 1.950672652004346)
('PUIOCK1', 1.686098662273682)
('PUIOCK2', 0.72197309864137904)
('PUIOCK3', 0.72197309864137904)
('PUIODP2', 0.29147982398103423)
('PULINENO', 1.8385650144275849)
('PUSLFPRX', 1.1076233160391427)
('PUWK', 1.5426008956435902)
('PWCMPWGT', 2239.0849260767995)
('PWFMWGT', 2455.5110756330096)
('PWLGWGT', 2474.0690952537257)
