Class 1
('GEREG', 3.0537874972456382)
('GESTCEN', 66.199512718126144)
('GESTFIPS', 23.134574114967176)
('GTCBSA', 29377.888506438067)
('GTCBSASZ', 4.2580675335158311)
('GTCO', 32.274571440157807)
('GTINDVPC', 0.17203331439915867)
('GTMETSTA', 1.1075281412202509)
('HEFAMINC', 8.1505862439473553)
('HEHOUSUT', 1.177421433013172)
('HES1A', 0.91397748702373871)
('HES1B', 1.2419266062019712)
('HES1C', 1.3924660021076476)
('HES1D', 1.72580323988836)
('HES8B', 1.2956789652912675)
('HES9', 1.0967753270889062)
('HESC3', 0.54300539802816361)
('HESC3A', 0.021517338020844202)
('HESC4', 0.86020170306534005)
('HETENURE', 1.5806402492410243)
('HETS2O', 124.65633164532709)
('HETS3O', 24.607651133394388)
('HETS4O', 46.027432515048005)
('HETS5O', 17.661508884331198)
('HETS6O', 29.177772833358155)
('HETS7O', 4.2903845480363483)
('HETS8CO', 42.42523979289097)
('HETS8DO', 12.032410715894416)
('HETS8O', 156.68912887640715)
('HETS8OU', 137.00593877514697)
('HETSP3O', 101.90745353411107)
('HHSUPWGT', 3769.4440791743236)
('HRHHID', 256408463008169.22)
('HRHHID2', 91904.299940824509)
('HRHTYPE', 2.6236397977089725)
('HRNUMHOU', 4.1183043802417272)
('HRPOOR', 1.3494664589637519)
('HRSUPINT', 1.0)
('HUBUS', 1.8924718587797489)
('HUFINAL', 180.56965316815231)
('HWHHWGT', 2889.1169442845749)
('HWHHWTLN', 1.5914047749122264)
('OCCURNUM', 2.3871013101879308)
('PEAFEVER', 1.5322525856919085)
('PEAFNOW', 1.72580323988836)
('PEDISDRS', 1.7204268328273473)
('PEDISEAR', 1.6989212045832973)
('PEDISEYE', 1.7150504257663348)
('PEDISOUT', 1.7096740187053223)
('PEDISPHY', 1.6774155763392471)
('PEDISREM', 1.6881683904612721)
('PEEDUCA', 35.585969808299495)
('PEERNHRO', 0.25270284521592357)
('PEFNTVTY', 151.44177855613259)
('PEHRACT1', 10.758202211861134)
('PEHRACT2', 0.68819181715794009)
('PEHRACTT', 12.365747923103886)
('PEHRUSL1', 12.742096392327108)
('PEHRUSL2', 0.68819181715794009)
('PEHRUSLT', 13.849636246895694)
('PEHSPNON', 1.7365677655446592)
('PEIO1COW', 2.4408419523063616)
('PEIO1ICD', 3770.7320921958135)
('PEIO2ICD', 49.919951274849844)
('PELKDUR', 13.128495062292329)
('PELKM1', 0.3655722588562953)
('PEMARITL', 3.0859873819442818)
('PEMJOT', 0.16668032685463627)
('PEMLR', 2.8602017084504268)
('PEMNTVTY', 146.56537735179418)
('PENATVTY', 121.00612556828891)
('PERRP', 4.0000000051946714)
('PESCHENR', 0.88708374374930155)
('PESEX', 1.0)
('PRABSREA', 1.0000234266966679)
('PRCHLD', 1.7096974454019898)
('PRCITFLG', 0.22043268950151446)
('PRCITSHP', 1.8010846449190059)
('PRCIVLF', 1.010752814122025)
('PRCOW1', 2.3064317757810477)
('PRDISFLG', 1.6128986916070964)
('PRDTCOW1', 3.8924484320830821)
('PREDUCA4', 2.1559040950281156)
('PREDUCA5', 2.3387019351025424)
('PREMPHRS', 6.1774916879626911)
('PREMPNOT', 1.6827919851952888)
('PRERELG', 0.075269698854175671)
('PREXPLF', 0.56449931650467866)
('PRFAMNUM', 0.84408419524966571)
('PRFTLF', 0.5698874333260312)
('PRHRUSL', 1.166692040196778)
('PRINUYER', 2.9785294741486816)
('PRMARSTA', 3.5913579341261568)
('PRMJIND1', 4.3494547456492958)
('PRMJOCC1', 3.3225609969258931)
('PRMLR', 1.5913930651580754)
('PRNLFSCH', 0.91396577905436427)
('PRNMCHLD', 0.63441603319948048)
('PRPERTYP', 1.9086010799627866)
('PRPTREA', 0.677438976141438)
('PRTAGE', 38.080739760366072)
('PRTFAGE', 0.010752814122025096)
('PRUNEDUR', 13.150000690536379)
('PRUNTYPE', 0.39779556660046494)
('PRWKSCH', 1.2849261511270553)
('PRWKSTAT', 5.1128342771746595)
('PTDTRACE', 1.7526969867487914)
('PTERN', 0.36645602241209857)
('PTERNH1O', 0.95350590940405844)
('PTERNH2', 0.17290536821564681)
('PTERNHLY', 1.1364112776197095)
('PTERNWA', 56.476790673963286)
('PTHR', 0.005376407061012548)
('PTIO1OCD', 3709.7723986761962)
('PTIO2OCD', 21.693814204533961)
('PTWK', 0.005376407061012548)
('PUABSOT', 0.27954974586107134)
('PUBUSCK1', 0.56449932009473636)
('PUBUSCK3', 0.17739801170183295)
('PUCHINHH', 8.4301008515326732)
('PUHRCK1', 0.16668032685463627)
('PUHRCK12', 0.25807924689184958)
('PUHRCK2', 1.3333606537092726)
('PUHRCK3', 1.2258325142819868)
('PUHRCK6', 0.41937145692719718)
('PUHRCK7', 0.98389419653642218)
('PUHROFF2', 0.39786583405998432)
('PUIO1MFG', 1.8279549740435306)
('PUIOCK1', 0.63980414822374054)
('PULAY', 0.032235021073523641)
('PULINENO', 2.3871013101879313)
('PULKM2', 0.34945474918843844)
('PULKM3', 0.15044570711511721)
('PUSLFPRX', 1.3494547474125096)
('PUWK', 1.3924660039006111)
('PWCMPWGT', 2641.2240607295171)
('PWFMWGT', 2994.8141012849323)
('PWLGWGT', 1923.8667909704031)
('PWORWGT', 2656.9478839523522)
('PWSSWGT', 2997.2023431268026)
('PWSUPWGT', 3905.187492451968)
('PWVETWGT', 2644.8956941914334)


Class 2
('GEREG', 2.8741289263794356)
('GESTCEN', 61.554907521159421)
('GESTFIPS', 25.533689125874151)
('GTCBSA', 24260.54137950423)
