Class 1
('GEREG', 2.6605635090963826)
('GESTCEN', 55.870427656592263)
('GESTFIPS', 29.276059179263239)
('GTCBSA', 25494.74670068848)
('GTCBSASZ', 3.6056335818369267)
('GTCO', 35.445062370812664)
('GTINDVPC', 0.18450698564914453)
('GTMETSTA', 1.2197182887765992)
('HEFAMINC', 6.9070429156546167)
('HEHOUSUT', 1.3478872172140699)
('HES1A', 1.1056338249305129)
('HES1B', 1.6535209496320282)
('HES1C', 1.46197190999218)
('HES1D', 1.974647895101949)
('HES8B', 1.6591547736618342)
('HES9', 1.115492937295848)
('HESC3', 1.7309859500668767)
('HESC3A', 0.33521137564429176)
('HESC4', 1.9802816961774645)
('HETENURE', 1.7169014488238483)
('HETS2O', 123.00139560119632)
('HETS3O', 19.10844942735655)
('HETS4O', 16.607089844700695)
('HETS5O', 3.2126957103550353)
('HETS6O', 17.012676042813393)
('HETS8CO', 38.332424944214729)
('HETS8DO', 2.3647914514268518)
('HETS8O', 135.26339655786404)
('HETS8OU', 124.1957808213847)
('HETSP3O', 176.10851259314447)
('HHSUPWGT', 3224.2331022975841)
('HRHHID', 518496538882504.81)
('HRHHID2', 91658.828327014911)
('HRHTYPE', 3.8464789202674026)
('HRNUMHOU', 3.8014096719525585)
('HRPOOR', 1.2295774025580517)
('HRSUPINT', 1.0000000000000002)
('HUBUS', 1.9901408480952032)
('HUFINAL', 179.31409113843878)
('HWHHWGT', 2581.6414079248607)
('HWHHWTLN', 1.0704225136056955)
('OCCURNUM', 1.4338027236253927)
('PEAFEVER', 1.9887323978230886)
('PEAFNOW', 2.0000000000000004)
('PECYC', 0.20563402508341855)
('PEDISDRS', 1.9971830994557729)
('PEDISEAR', 1.9971830994557729)
('PEDISEYE', 1.9943661989115451)
('PEDISOUT', 1.9704225044929722)
('PEDISPHY', 1.9549295911714941)
('PEDISREM', 1.9577464918248157)
('PEEDUCA', 39.184507063781794)
('PEERNHRO', 1.3098584463490519)
('PEFNTVTY', 111.22115867762211)
('PEHRACT1', 20.071826121089043)
('PEHRACTT', 20.208445797484092)
('PEHRUSL1', 20.071826213688212)
('PEHRUSLT', 20.097178318586263)
('PEHSPNON', 1.7633801569183729)
('PEIO1COW', 2.5295766797464543)
('PEIO1ICD', 5062.9369438763224)
('PEIO2ICD', 10.071827589087411)
('PELKDUR', 2.9028157046512577)
('PEMARITL', 5.2239438453279332)
('PEMJOT', 0.79436581057376587)
('PEMLR', 2.9549304508596257)
('PEMNTVTY', 109.29580715576134)
('PENATVTY', 99.877500186135649)
('PERRP', 2.6901404466889827)
('PESCHENR', 1.8929575356382136)
('PESEX', 2.0000000000000004)
('PRCHLD', 4.9521129260022914)
('PRCITFLG', 0.057746461156670127)
('PRCITSHP', 1.604225758836932)
('PRCIVLF', 1.2802818563044771)
('PRCOW1', 2.4521118983770953)
('PRDISFLG', 1.9169013940317809)
('PRDTCOW1', 4.2211255740563294)
('PREDUCA4', 2.2943662412255201)
('PREDUCA5', 2.4802816771585454)
('PREMPHRS', 10.139434336562303)
('PREMPNOT', 1.9507046901500833)
('PRERELG', 0.099999969322310187)
('PREXPLF', 0.55070385889981233)
('PRFAMNUM', 1.1478873182673042)
('PRFTLF', 0.5971827724991311)
('PRHRUSL', 1.7253514403341852)
('PRINUYER', 2.3971845341777245)
('PRMARSTA', 6.2239438453279332)
('PRMJIND1', 5.9014069800056026)
('PRMJOCC1', 2.5619709571937177)
('PRMLR', 1.676056634934062)
('PRNLFSCH', 1.9436619891154443)
('PRNMCHLD', 1.815494065511251)
('PRPERTYP', 2.0)
('PRPTHRS', 0.52394367295937194)
('PRPTREA', 2.005633779754151)
('PRTAGE', 34.938025625513411)
('PRTFAGE', 0.0014084502721139055)
('PRUNEDUR', 2.9056326051954855)
('PRWKSCH', 0.9690138418832196)
('PRWKSTAT', 3.5845065309236723)
('PTDTRACE', 1.3971829917396141)
('PTERN', 0.27170413892550371)
('PTERNH1O', 0.73314061710182676)
('PTERNH2', 0.20214077998579527)
('PTERNHLY', 0.94528139708762737)
('PTERNWA', 48.71754843165651)
('PTIO1OCD', 3222.7457160600625)
('PTIO2OCD', 2.2549285788552353)
('PUBUSCK1', 0.22253559269160134)
('PUCHINHH', 8.7436620504714018)
('PUDWCK1', 0.0070430063673092734)
('PUHRCK1', 0.79436581057376587)
('PUHRCK12', 0.8126756641112467)
('PUHRCK2', 2.5633795162494812)
('PUHRCK3', 2.4661963928422952)
('PUHRCK5', 0.76478835485937391)
('PUHRCK6', 1.3774642778624731)
('PUHRCK7', 2.3352105258538227)
('PUHROFF1', 0.60422502383838872)
('PUHROT1', 0.6521123330880384)
('PUIO1MFG', 2.1408442874147546)
('PUIOCK1', 1.604224717262468)
('PUIOCK2', 0.55492910086016412)
('PUIOCK3', 0.55492910086016412)
('PUIODP2', 0.166196825645123)
('PULINENO', 1.433802723625393)
('PUSLFPRX', 1.2408449965397477)
('PUWK', 1.528169183675083)
('PWCMPWGT', 2605.0333053672057)
('PWFMWGT', 2613.5084582940208)
('PWLGWGT', 2736.2534553440851)
('PWORWGT', 2215.0311004488785)
('PWSSWGT', 2613.5084582940217)
('PWSUPWGT', 3268.5523080240823)
('PWVETWGT', 2596.9729165338827)


Class 2
('GEREG', 2.6173912782509356)
('GESTCEN', 54.065216820675296)
('GESTFIPS', 24.673912582942904)
('GTCBSA', 25748.089811935264)
('GTCBSASZ', 3.5695658005088711)
('GTCO', 25.960874479406876)
('GTINDVPC', 0.10869567274921334)
('GTMETSTA', 1.2043477217595411)
